"","response_uuid","Age","Trial","Usable frames (%)","change_good","Stimulus.type"
"1","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","1",0.778301886792453,0.733333333333333,"Small"
"2","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","2",0.872937293729373,0.43289224952741,"Small"
"3","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","3",0.724409448818898,0.845652173913043,"Small"
"4","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","4",0.554076539101497,0.333333333333333,"Small"
"5","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","1",0.345911949685535,0.690909090909091,"Big"
"6","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","2",0.367986798679868,0.587443946188341,"Big"
"7","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","1",0.663522012578616,0.317535545023697,"Big"
"8","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","2",0.94059405940594,0.950877192982456,"Big"
"9","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","3",0.705511811023622,0.455357142857143,"Big"
"10","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","4",0.860232945091514,0.655705996131528,"Big"
"11","095b6236-bad8-4356-8325-878f7a78c608","6","1",0.539308176100629,0.612244897959184,"Small"
"12","095b6236-bad8-4356-8325-878f7a78c608","6","2",0.613861386138614,0.150537634408602,"Small"
"13","095b6236-bad8-4356-8325-878f7a78c608","6","4",0.410981697171381,0.384615384615385,"Small"
"14","0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","12","4",0.668885191347754,0.345771144278607,"Small"
"15","18088fc2-ebda-40ff-a630-70ffa64a67ea","12","1",0.806603773584906,0.861598440545809,"Small"
"16","18088fc2-ebda-40ff-a630-70ffa64a67ea","12","2",0.765676567656766,0.420258620689655,"Small"
"17","18088fc2-ebda-40ff-a630-70ffa64a67ea","12","3",0.69763779527559,0.433408577878104,"Small"
"18","1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","1",0.355345911949686,0.482300884955752,"Small"
"19","1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","3",0.555905511811024,0.813031161473088,"Small"
"20","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","1",0.69496855345912,0.34841628959276,"Big"
"21","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","2",0.79042904290429,0.759916492693111,"Big"
"22","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","3",0.601574803149606,0.772251308900524,"Big"
"23","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","4",0.550748752079867,0.51963746223565,"Big"
"24","25c12ba4-d8c9-4e68-8309-cba774c947db","6","1",0.663522012578616,0.336492890995261,"Big"
"25","25c12ba4-d8c9-4e68-8309-cba774c947db","6","2",0.457095709570957,0.729241877256318,"Big"
"26","25c12ba4-d8c9-4e68-8309-cba774c947db","6","3",0.338582677165354,0.758139534883721,"Big"
"27","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","1",0.827044025157233,0.541825095057034,"Big"
"28","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","2",0.562706270627063,0.824046920821114,"Big"
"29","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","3",0.458267716535433,0.202749140893471,"Big"
"30","293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","4",0.640599001663893,0.735064935064935,"Big"
"31","2b882a59-5857-481e-bda7-cdff7bd8f56e","12","1",0.814465408805031,0.472972972972973,"Big"
"32","2b882a59-5857-481e-bda7-cdff7bd8f56e","12","2",0.485148514851485,0.578231292517007,"Big"
"33","2b882a59-5857-481e-bda7-cdff7bd8f56e","12","3",0.603149606299213,0.866840731070496,"Big"
"34","2b882a59-5857-481e-bda7-cdff7bd8f56e","12","4",0.590682196339434,0.188732394366197,"Big"
"35","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","1",0.625786163522013,0.0979899497487437,"Small"
"36","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","2",0.937293729372937,0.420774647887324,"Small"
"37","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","3",0.746456692913386,0.417721518987342,"Small"
"38","2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","4",0.632279534109817,0.6,"Small"
"39","2f184f61-d2b2-423c-bed5-027b0514aebd","6","1",0.567610062893082,0.42382271468144,"Big"
"40","2f184f61-d2b2-423c-bed5-027b0514aebd","6","2",0.453795379537954,0.810909090909091,"Big"
"41","2f184f61-d2b2-423c-bed5-027b0514aebd","6","3",0.456692913385827,0.413793103448276,"Big"
"42","2f184f61-d2b2-423c-bed5-027b0514aebd","6","4",0.394342762063228,0.29957805907173,"Big"
"43","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","1",0.573899371069182,0.734246575342466,"Big"
"44","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","3",0.398425196850394,0.486166007905138,"Big"
"45","31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","4",0.372712146422629,0.482142857142857,"Big"
"46","3253da16-238b-4f45-8610-dff84aa897d4","6","1",0.792452830188679,0.579365079365079,"Big"
"47","3253da16-238b-4f45-8610-dff84aa897d4","6","2",0.844884488448845,0.8046875,"Big"
"48","3253da16-238b-4f45-8610-dff84aa897d4","6","3",0.724409448818898,0.271739130434783,"Big"
"49","3253da16-238b-4f45-8610-dff84aa897d4","6","4",0.653910149750416,0.829516539440204,"Big"
"50","388e70f5-902e-4197-9bf0-61e5f32de097","12","1",0.726415094339623,0.683982683982684,"Big"
"51","388e70f5-902e-4197-9bf0-61e5f32de097","12","2",0.613861386138614,0.354838709677419,"Big"
"52","388e70f5-902e-4197-9bf0-61e5f32de097","12","3",0.611023622047244,0.832474226804124,"Big"
"53","48444209-fd3a-4173-8854-366e6f1bb582","12","1",0.89622641509434,0.850877192982456,"Small"
"54","48444209-fd3a-4173-8854-366e6f1bb582","12","2",0.757425742574257,0.350762527233115,"Small"
"55","48444209-fd3a-4173-8854-366e6f1bb582","12","3",0.826771653543307,0.659047619047619,"Small"
"56","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","1",0.470125786163522,0.68561872909699,"Big"
"57","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","2",0.488448844884488,0.97972972972973,"Big"
"58","500df8d0-a283-43bd-b60b-dd291f0484b0","12","1",0.911949685534591,0.572413793103448,"Big"
"59","500df8d0-a283-43bd-b60b-dd291f0484b0","12","2",0.559405940594059,0.510324483775811,"Big"
"60","542a740b-12ca-43b1-96a0-6b2c2142d327","6","1",0.385220125786164,0.636734693877551,"Big"
"61","542a740b-12ca-43b1-96a0-6b2c2142d327","6","2",0.504950495049505,0.741830065359477,"Big"
"62","542a740b-12ca-43b1-96a0-6b2c2142d327","6","3",0.445669291338583,0.653710247349823,"Big"
"63","542a740b-12ca-43b1-96a0-6b2c2142d327","6","4",0.555740432612313,0.631736526946108,"Big"
"64","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","1",0.918238993710692,0.294520547945205,"Small"
"65","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","2",0.557755775577558,0.653846153846154,"Small"
"66","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","3",0.647244094488189,0.435523114355231,"Small"
"67","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","4",0.638935108153078,0.84375,"Small"
"68","5864ecf2-7993-4712-9177-f4feeab105ea","12","1",0.779874213836478,0.782258064516129,"Big"
"69","5864ecf2-7993-4712-9177-f4feeab105ea","12","2",0.846534653465347,0.130604288499025,"Big"
"70","5864ecf2-7993-4712-9177-f4feeab105ea","12","3",0.899212598425197,0.40630472854641,"Big"
"71","5864ecf2-7993-4712-9177-f4feeab105ea","12","4",0.642262895174709,0.129533678756477,"Big"
"72","6cc17b70-29de-481b-8672-f70a2428e0f9","6","1",0.617924528301887,0.959287531806616,"Big"
"73","6cc17b70-29de-481b-8672-f70a2428e0f9","6","2",0.592409240924092,0.222841225626741,"Big"
"74","6cc17b70-29de-481b-8672-f70a2428e0f9","6","3",0.566929133858268,0.488888888888889,"Big"
"75","6cc17b70-29de-481b-8672-f70a2428e0f9","6","4",0.437603993344426,0.319391634980989,"Big"
"76","8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","1",0.690251572327044,0.514806378132118,"Big"
"77","8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","2",0.396039603960396,0.816666666666667,"Big"
"78","8027ff65-17d3-4496-a0f3-e4feeaee5ffe","12","4",0.381031613976705,0.620087336244541,"Big"
"79","84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","1",0.709119496855346,0.69179600886918,"Big"
"80","84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","2",0.636963696369637,0.287564766839378,"Big"
"81","84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","4",0.419301164725458,0.575396825396825,"Big"
"82","8a362df5-0bae-43b3-a757-fd160cf111aa","6","1",0.85377358490566,0.226519337016575,"Small"
"83","8a362df5-0bae-43b3-a757-fd160cf111aa","6","2",0.848184818481848,0.0603112840466926,"Small"
"84","8a362df5-0bae-43b3-a757-fd160cf111aa","6","3",0.703937007874016,0.80089485458613,"Small"
"85","8a362df5-0bae-43b3-a757-fd160cf111aa","6","4",0.487520798668885,0.48122866894198,"Small"
"86","95b2ce0f-c3c6-4de4-8d32-9f050ab5c501","6","1",0.819182389937107,0.165067178502879,"Small"
"87","95b2ce0f-c3c6-4de4-8d32-9f050ab5c501","6","2",0.567656765676568,0.912790697674419,"Small"
"88","95b2ce0f-c3c6-4de4-8d32-9f050ab5c501","6","3",0.606299212598425,0.532467532467532,"Small"
"89","9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","1",0.713836477987421,0.773127753303965,"Big"
"90","9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","2",0.721122112211221,0.459954233409611,"Big"
"91","9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","3",0.752755905511811,0.780334728033473,"Big"
"92","9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","4",0.697171381031614,0.651551312649165,"Big"
"93","a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","1",0.477987421383648,0.421052631578947,"Big"
"94","a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","2",0.382838283828383,0.568965517241379,"Big"
"95","a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","3",0.428346456692913,0.683823529411765,"Big"
"96","a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","4",0.387687188019967,0.553648068669528,"Big"
"97","aac0690d-0aa0-4ba1-923c-8d11717f228b","12","1",0.578616352201258,0.646739130434783,"Small"
"98","aac0690d-0aa0-4ba1-923c-8d11717f228b","12","2",0.503300330033003,0.472131147540984,"Small"
"99","aac0690d-0aa0-4ba1-923c-8d11717f228b","12","3",0.42992125984252,0.615384615384615,"Small"
"100","ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","1",0.794025157232704,0.596039603960396,"Big"
"101","ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","2",0.732673267326733,0.718468468468468,"Big"
"102","ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","3",0.552755905511811,0.39031339031339,"Big"
"103","ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","4",0.640599001663893,0.942857142857143,"Big"
"104","ae4de261-f5e7-4282-817b-71d298e6ccec","12","1",0.809748427672956,0.596116504854369,"Big"
"105","ae4de261-f5e7-4282-817b-71d298e6ccec","12","2",0.806930693069307,0.76278118609407,"Big"
"106","ae4de261-f5e7-4282-817b-71d298e6ccec","12","3",0.839370078740157,0.583489681050657,"Big"
"107","ae4de261-f5e7-4282-817b-71d298e6ccec","12","4",0.462562396006656,0.456834532374101,"Big"
"108","af5f2baa-7fed-41c3-83f8-c0c53f202782","6","1",0.592767295597484,0.93368700265252,"Big"
"109","af5f2baa-7fed-41c3-83f8-c0c53f202782","6","2",0.643564356435644,0.469230769230769,"Big"
"110","af5f2baa-7fed-41c3-83f8-c0c53f202782","6","3",0.807874015748032,0.538011695906433,"Big"
"111","af5f2baa-7fed-41c3-83f8-c0c53f202782","6","4",0.59234608985025,0.747191011235955,"Big"
"112","b3281ac1-0414-4b63-884a-00770a2c0498","6","1",0.734276729559748,0.728051391862955,"Big"
"113","b3281ac1-0414-4b63-884a-00770a2c0498","6","2",0.726072607260726,0.813636363636364,"Big"
"114","b3281ac1-0414-4b63-884a-00770a2c0498","6","3",0.462992125984252,0.758503401360544,"Big"
"115","b3281ac1-0414-4b63-884a-00770a2c0498","6","4",0.444259567387687,0.561797752808989,"Big"
"116","b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","1",0.734276729559748,0.805139186295503,"Big"
"117","b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","2",0.742574257425743,0.573333333333333,"Big"
"118","b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","3",0.82992125984252,0.888045540796964,"Big"
"119","b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","4",0.816971713810316,0.242362525458248,"Big"
"120","be476632-1647-4ae8-8497-1d82d41d32b6","6","1",0.477987421383648,0.0460526315789474,"Small"
"121","be476632-1647-4ae8-8497-1d82d41d32b6","6","3",0.486614173228346,0.608414239482201,"Small"
"122","c249ac99-7103-4d9f-a385-6433ef511b7a","6","1",0.49685534591195,0.822784810126582,"Small"
"123","c249ac99-7103-4d9f-a385-6433ef511b7a","6","2",0.674917491749175,0.374083129584352,"Small"
"124","cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6","1",0.333333333333333,0.952830188679245,"Small"
"125","d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","1",0.982704402515723,0.9648,"Big"
"126","d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","2",0.684818481848185,0.640963855421687,"Big"
"127","d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","3",0.686614173228347,0.0665137614678899,"Big"
"128","d7947371-1fbc-444b-9f5b-8c93452af17c","12","1",0.539308176100629,0.486880466472303,"Small"
"129","d7947371-1fbc-444b-9f5b-8c93452af17c","12","2",0.381188118811881,0.242424242424242,"Small"
"130","d7947371-1fbc-444b-9f5b-8c93452af17c","12","4",0.361064891846922,0.6036866359447,"Small"
"131","da02ea62-68b6-4b32-965d-9676bd328193","12","1",0.638364779874214,0.381773399014778,"Small"
"132","da02ea62-68b6-4b32-965d-9676bd328193","12","2",0.433993399339934,0.703422053231939,"Small"
"133","da02ea62-68b6-4b32-965d-9676bd328193","12","4",0.46089850249584,0.252707581227437,"Small"
"134","daa9097b-722d-4e57-846a-97a5e548e2ce","6","1",0.614779874213837,0.107416879795396,"Big"
"135","daa9097b-722d-4e57-846a-97a5e548e2ce","6","2",0.628712871287129,0.803149606299213,"Big"
"136","daa9097b-722d-4e57-846a-97a5e548e2ce","6","3",0.4,0.877952755905512,"Big"
"137","daa9097b-722d-4e57-846a-97a5e548e2ce","6","4",0.349417637271215,0.404761904761905,"Big"
"138","e028c328-ed67-4893-bb83-7b2528bb3c3f","6","1",0.748427672955975,0.252100840336134,"Small"
"139","e028c328-ed67-4893-bb83-7b2528bb3c3f","6","2",0.768976897689769,0.371244635193133,"Small"
