"response_uuid","Trial","Usable frames (%)","has_icatcher","icatcher_file_names"
"036e33eb-cca7-4d18-ab55-63c4c489229a","5a",0.4,TRUE,"16-test-trial-4_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884999105_440.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","5b",0.822,TRUE,"16-test-trial-4_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884999105_440.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","6a",0.642,TRUE,"16-test-trial-4_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884999105_440.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","6b",0.646,TRUE,"16-test-trial-4_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884999105_440.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","1a",0.417,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","1b",0.925,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","2a",0.758,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","2b",0.192,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","3a",0.262,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","3b",0.596,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","4a",0.608,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","4b",0.667,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","5a",0.492,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","5b",0.721,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","6a",0.467,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","6b",0.267,TRUE,"10-test-trial-1_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878297926_277.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","1a",0.721,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","1b",0.521,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","2a",0.815,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","2b",0.4,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","3a",0.388,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","3b",0.679,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","4a",0.7,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","4b",0.725,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","5a",0.925,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","5b",0.992,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6a",0.5,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6b",0.825,TRUE,"18-test-trial-5_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837945975_819.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","1a",0.738,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","1b",0.846,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","2a",0.725,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","2b",0.783,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","3a",0.725,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","3b",0.496,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","4a",0.825,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","4b",0.358,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","5a",0.875,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","5b",0.537,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","6a",0.7,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","6b",0.533,TRUE,"14-test-trial-3_06f52932-c87c-4815-adb9-52cc60998bd9_1694116192733_744.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","1a",0.383,TRUE,"14-test-trial-3_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316647311_67.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","1b",0.225,TRUE,"14-test-trial-3_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316647311_67.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","2a",0.658,TRUE,"14-test-trial-3_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316647311_67.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","2b",0.404,TRUE,"14-test-trial-3_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316647311_67.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","3a",0.696,TRUE,"14-test-trial-3_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316647311_67.txt"
