"response_uuid","Trial","Usable frames (%)","has_icatcher","icatcher_file_names"
"036015a7-933e-4753-84c7-c76bec88a304","20",0.894,TRUE,"14-test-trial-3_036015a7-933e-4753-84c7-c76bec88a304_1695213686384_865.txt"
"036015a7-933e-4753-84c7-c76bec88a304","3",0.987,TRUE,"14-test-trial-3_036015a7-933e-4753-84c7-c76bec88a304_1695213686384_865.txt"
"036015a7-933e-4753-84c7-c76bec88a304","4",0.967,TRUE,"14-test-trial-3_036015a7-933e-4753-84c7-c76bec88a304_1695213686384_865.txt"
"036015a7-933e-4753-84c7-c76bec88a304","5",0.96,TRUE,"14-test-trial-3_036015a7-933e-4753-84c7-c76bec88a304_1695213686384_865.txt"
"036015a7-933e-4753-84c7-c76bec88a304","6",0.808,TRUE,"14-test-trial-3_036015a7-933e-4753-84c7-c76bec88a304_1695213686384_865.txt"
"036015a7-933e-4753-84c7-c76bec88a304","7",0.887,TRUE,"14-test-trial-3_036015a7-933e-4753-84c7-c76bec88a304_1695213686384_865.txt"
"036015a7-933e-4753-84c7-c76bec88a304","8",0.808,TRUE,"14-test-trial-3_036015a7-933e-4753-84c7-c76bec88a304_1695213686384_865.txt"
"036015a7-933e-4753-84c7-c76bec88a304","9",0.96,TRUE,"14-test-trial-3_036015a7-933e-4753-84c7-c76bec88a304_1695213686384_865.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","1",0.834,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","10",0.298,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","11",0.874,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","12",0.576,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","13",0.556,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","14",0.927,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","15",0.583,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","16",0.927,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","17",0.623,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","18",0.291,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","19",0.762,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","2",0.735,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","20",0.556,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","3",0.921,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","4",0.517,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","5",0.861,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","6",0.914,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","7",0.629,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","8",0.344,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","9",0.411,TRUE,"14-test-trial-3_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884845595_561.txt"
