"response_uuid","Age","Trial","target_prop","Stimulus type"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","2",0.423,"Large Constant"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","4",0.492,"Large Constant"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","1",0.272,"Large Constant"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","2",0.675,"Large Constant"
"d7947371-1fbc-444b-9f5b-8c93452af17c","12","1",0.89,"Large Constant"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","1",0.349,"Small Constant"
"2b882a59-5857-481e-bda7-cdff7bd8f56e","12","3",0.721,"Small Constant"
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12","4",0.074,"Small Constant"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","4",0.233,"Small Constant"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","2",0.758,"Small Constant"
"2f184f61-d2b2-423c-bed5-027b0514aebd","6","3",0.529,"Small Constant"
"2b882a59-5857-481e-bda7-cdff7bd8f56e","12","2",0.716,"Small Constant"
"5864ecf2-7993-4712-9177-f4feeab105ea","12","1",0.741,"Small Constant"
"5864ecf2-7993-4712-9177-f4feeab105ea","12","2",0.128,"Small Constant"
"2f184f61-d2b2-423c-bed5-027b0514aebd","6","2",0.811,"Small Constant"
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12","2",0.219,"Small Constant"
"2b882a59-5857-481e-bda7-cdff7bd8f56e","12","1",0.332,"Small Constant"
"542a740b-12ca-43b1-96a0-6b2c2142d327","6","1",0.637,"Small Constant"
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","1",0.504,"Small Constant"
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","1",0.688,"Small Constant"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","2",0.206,"Small Constant"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","3",0.811,"Small Constant"
"2f184f61-d2b2-423c-bed5-027b0514aebd","6","4",0.302,"Small Constant"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","1",0.789,"Small Constant"
"2f184f61-d2b2-423c-bed5-027b0514aebd","6","1",0.403,"Small Constant"
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","1",0.734,"Small Constant"
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","2",0.286,"Small Constant"
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12","4",0.582,"Small Constant"
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6","4",0.843,"Small Constant"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","3",0.693,"Small Constant"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","4",0.577,"Small Constant"
"542a740b-12ca-43b1-96a0-6b2c2142d327","6","2",0.74,"Small Constant"
"2b882a59-5857-481e-bda7-cdff7bd8f56e","12","4",0.254,"Small Constant"
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","1",0.808,"Small Constant"
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","2",0.544,"Small Constant"
"9fd3fdc0-0d1d-4684-8567-479616056287","6","3",0.852,"Small Constant"
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12","1",0.662,"Small Constant"
"9fd3fdc0-0d1d-4684-8567-479616056287","6","4",0.279,"Small Constant"
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","1",0.726,"Small Constant"
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","2",0.489,"Small Constant"
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","3",0.658,"Small Constant"
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12","4",0.667,"Small Constant"
"ce3576ae-b709-4de2-9d36-32dc5df83253","12","2",0.293,"Small Constant"
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","2",0.543,"Small Constant"
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","3",0.572,"Small Constant"
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12","4",0.554,"Small Constant"
"542a740b-12ca-43b1-96a0-6b2c2142d327","6","3",0.661,"Small Constant"
"542a740b-12ca-43b1-96a0-6b2c2142d327","6","4",0.651,"Small Constant"
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","3",0.893,"Small Constant"
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","4",0.225,"Small Constant"
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","1",0.862,"Small Constant"
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","2",0.874,"Small Constant"
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","3",0.521,"Small Constant"
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6","4",0.28,"Small Constant"
"5864ecf2-7993-4712-9177-f4feeab105ea","12","3",0.308,"Small Constant"
"5864ecf2-7993-4712-9177-f4feeab105ea","12","4",0.085,"Small Constant"
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","3",0.394,"Small Constant"
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6","4",0.492,"Small Constant"
"6cc17b70-29de-481b-8672-f70a2428e0f9","6","1",0.953,"Small Constant"
"6cc17b70-29de-481b-8672-f70a2428e0f9","6","2",0.215,"Small Constant"
"6cc17b70-29de-481b-8672-f70a2428e0f9","6","3",0.549,"Small Constant"
"6cc17b70-29de-481b-8672-f70a2428e0f9","6","4",0.313,"Small Constant"
"388e70f5-902e-4197-9bf0-61e5f32de097","12","1",0.643,"Small Constant"
"388e70f5-902e-4197-9bf0-61e5f32de097","12","2",0.366,"Small Constant"
"388e70f5-902e-4197-9bf0-61e5f32de097","12","3",0.884,"Small Constant"
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6","1",0.933,"Small Constant"
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6","2",0.511,"Small Constant"
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6","3",0.411,"Small Constant"
"fe85735d-5680-4edc-b835-3a70d4d90a9f","12","1",0.789,"Small Constant"
"fe85735d-5680-4edc-b835-3a70d4d90a9f","12","2",0.399,"Small Constant"
"fe85735d-5680-4edc-b835-3a70d4d90a9f","12","3",0.794,"Small Constant"
"fe85735d-5680-4edc-b835-3a70d4d90a9f","12","4",0.835,"Small Constant"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","4",0.639,"Small Constant"
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6","1",0.594,"Small Constant"
"3253da16-238b-4f45-8610-dff84aa897d4","6","1",0.585,"Small Constant"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","3",0.541,"Small Constant"
"25c12ba4-d8c9-4e68-8309-cba774c947db","6","2",0.723,"Small Constant"
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","1",0.568,"Small Constant"
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6","4",0.976,"Small Constant"
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","4",0.732,"Small Constant"
"500df8d0-a283-43bd-b60b-dd291f0484b0","12","2",0.513,"Small Constant"
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12","2",0.818,"Small Constant"
