"response_uuid","Age","Trial Total","target_prop","Stimulus type"
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6",3,0.4165,"Non-social"
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6",4,0.967,"Non-social"
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6",5,0.719,"Social"
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6",6,0.4625,"Social"
"ba157a71-c389-4320-a764-5178216947a5","12",3,0.5515,"Non-social"
"ba157a71-c389-4320-a764-5178216947a5","12",6,0.553,"Social"
"be476632-1647-4ae8-8497-1d82d41d32b6","6",1,0.4355,"Non-social"
"be476632-1647-4ae8-8497-1d82d41d32b6","6",2,0.4325,"Non-social"
"be476632-1647-4ae8-8497-1d82d41d32b6","6",3,0.597,"Non-social"
"be476632-1647-4ae8-8497-1d82d41d32b6","6",5,0.4405,"Social"
"be476632-1647-4ae8-8497-1d82d41d32b6","6",6,0.09,"Social"
"c249ac99-7103-4d9f-a385-6433ef511b7a","6",1,0.42,"Non-social"
"c249ac99-7103-4d9f-a385-6433ef511b7a","6",2,0.906,"Non-social"
"c249ac99-7103-4d9f-a385-6433ef511b7a","6",3,0.635,"Non-social"
"c249ac99-7103-4d9f-a385-6433ef511b7a","6",4,0.631,"Non-social"
"c249ac99-7103-4d9f-a385-6433ef511b7a","6",5,0.3945,"Social"
"c249ac99-7103-4d9f-a385-6433ef511b7a","6",6,0.568,"Social"
"cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6",1,0.799,"Non-social"
"cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6",2,0.803,"Non-social"
"cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6",3,0.201,"Non-social"
"ce3576ae-b709-4de2-9d36-32dc5df83253","12",1,0.4465,"Non-social"
"ce3576ae-b709-4de2-9d36-32dc5df83253","12",2,0.74,"Non-social"
"ce3576ae-b709-4de2-9d36-32dc5df83253","12",3,0.651,"Non-social"
"ce3576ae-b709-4de2-9d36-32dc5df83253","12",4,0.678,"Non-social"
"ce3576ae-b709-4de2-9d36-32dc5df83253","12",5,0.871,"Social"
"ce3576ae-b709-4de2-9d36-32dc5df83253","12",6,0.594,"Social"
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6",1,0.38,"Non-social"
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6",2,0.5955,"Non-social"
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6",3,0.5315,"Non-social"
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6",4,0.3925,"Non-social"
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6",5,0.4525,"Social"
"d139f6f2-6b46-45a9-b60b-5d7f1b571c5d","6",6,0.8345,"Social"
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6",1,0.867,"Non-social"
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6",2,0.4825,"Non-social"
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6",3,0.3295,"Non-social"
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6",4,0.374,"Non-social"
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6",5,0.6875,"Social"
"d3bcd095-67fd-4c4f-ba8a-fdc71bf14fa8","6",6,0.6965,"Social"
"d7947371-1fbc-444b-9f5b-8c93452af17c","12",1,0.6455,"Non-social"
"d7947371-1fbc-444b-9f5b-8c93452af17c","12",2,0.777,"Non-social"
"d7947371-1fbc-444b-9f5b-8c93452af17c","12",3,0.662,"Non-social"
"d7947371-1fbc-444b-9f5b-8c93452af17c","12",4,0.3905,"Non-social"
"d7947371-1fbc-444b-9f5b-8c93452af17c","12",5,0.66,"Social"
"d7947371-1fbc-444b-9f5b-8c93452af17c","12",6,0.976,"Social"
"da02ea62-68b6-4b32-965d-9676bd328193","12",1,0.547,"Non-social"
"da02ea62-68b6-4b32-965d-9676bd328193","12",2,0.702,"Non-social"
"da02ea62-68b6-4b32-965d-9676bd328193","12",3,0.5395,"Non-social"
"da02ea62-68b6-4b32-965d-9676bd328193","12",4,0.478,"Non-social"
"da02ea62-68b6-4b32-965d-9676bd328193","12",6,0.792,"Social"
"daa9097b-722d-4e57-846a-97a5e548e2ce","6",1,0.547,"Non-social"
"daa9097b-722d-4e57-846a-97a5e548e2ce","6",2,0.957,"Non-social"
"daa9097b-722d-4e57-846a-97a5e548e2ce","6",3,0.901,"Non-social"
"dff41178-de67-4642-b884-f99a16e49bb5","12",1,0.506,"Non-social"
"dff41178-de67-4642-b884-f99a16e49bb5","12",4,0.5485,"Non-social"
"dff41178-de67-4642-b884-f99a16e49bb5","12",5,0.369,"Social"
"dff41178-de67-4642-b884-f99a16e49bb5","12",6,0.094,"Social"
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6",1,0.274,"Non-social"
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6",2,0.5595,"Non-social"
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6",3,0.5835,"Non-social"
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6",4,0.746,"Non-social"
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6",5,0.6085,"Social"
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6",6,0.5925,"Social"
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12",1,0.544,"Non-social"
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12",2,0.6535,"Non-social"
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12",3,0.6175,"Non-social"
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12",4,0.507,"Non-social"
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12",5,0.79,"Social"
"e18df596-60eb-4e9e-a8eb-0de2cba617dd","12",6,0.96,"Social"
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6",1,0.323,"Non-social"
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6",2,0.7215,"Non-social"
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6",3,0.4885,"Non-social"
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6",4,0.648,"Non-social"
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6",5,0.411,"Social"
"e6681ec0-8580-4c90-8b78-ba2eda235b24","6",6,0.719,"Social"
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12",1,0.636,"Non-social"
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12",2,0.374,"Non-social"
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12",3,0.47,"Non-social"
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12",4,0.629,"Non-social"
"e9c93b65-ba91-47f9-ba15-ebd49936a22c","12",5,0.591,"Social"
"ebffac03-2b65-487b-a944-4680e1ebc410","6",1,0.442,"Non-social"
"ebffac03-2b65-487b-a944-4680e1ebc410","6",2,0.75,"Non-social"
"ebffac03-2b65-487b-a944-4680e1ebc410","6",3,0.548,"Non-social"
"ebffac03-2b65-487b-a944-4680e1ebc410","6",4,0.605,"Non-social"
"ebffac03-2b65-487b-a944-4680e1ebc410","6",5,0.543,"Social"
"ebffac03-2b65-487b-a944-4680e1ebc410","6",6,0.607,"Social"
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6",1,0.663,"Non-social"
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6",2,0.618,"Non-social"
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6",3,0.5365,"Non-social"
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6",4,0.7895,"Non-social"
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6",5,0.799,"Social"
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6",6,0.2535,"Social"
"fe85735d-5680-4edc-b835-3a70d4d90a9f","12",4,0.126,"Non-social"
