"","response_uuid","Age","Trial","Usable frames (%)","synch_good"
"57","1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","1",0.795511221945137,0.191222570532915
"58","1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","2",0.680798004987531,0.644688644688645
"59","1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","3",0.945,0.246031746031746
"60","1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","4",0.76865671641791,0.867313915857605
"61","1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","5",0.695760598503741,0.315412186379928
"62","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","1",0.980049875311721,0.559796437659033
"63","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","2",0.845386533665835,0.84070796460177
"64","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","3",0.8725,0.171919770773639
"65","1d11ddd0-c1f0-4d87-b732-f16083f88e22","6","4",0.932835820895522,0.789333333333333
"66","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","1",0.880299251870324,0.739376770538244
"67","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","2",0.72568578553616,0.56701030927835
"68","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","3",0.7425,0.693602693602694
"69","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","4",0.711442786069652,0.472027972027972
"70","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","5",0.738154613466334,0.773648648648649
"71","1da22c85-469f-44c2-9bb3-312daf3b21a5","12","6",0.870324189526185,0.71919770773639
"72","2422cca0-c228-4211-86c5-809afbcc7a4d","12","1",0.765586034912718,0.315960912052117
"73","2422cca0-c228-4211-86c5-809afbcc7a4d","12","2",0.673316708229426,0.577777777777778
"74","2422cca0-c228-4211-86c5-809afbcc7a4d","12","3",0.7025,0.249110320284698
"75","2422cca0-c228-4211-86c5-809afbcc7a4d","12","4",0.68407960199005,0.712727272727273
"76","2422cca0-c228-4211-86c5-809afbcc7a4d","12","5",0.780548628428928,0.309904153354633
"77","257e85c7-6ba9-45b5-98da-5cd61b51b694","12","1",0.890274314214464,0.478991596638655
