"","response_uuid","Age","Trial","Usable frames (%)","novel_good","Stimulus type"
"50","4b9a5d8d-abb4-4e6d-a86e-094178e937c8","12","5",0.419354838709677,0.592760180995475,"S"
"51","510ce501-f2b4-4c71-baef-5722ca1d840b","12","1",0.65530303030303,0.604046242774566,"NS"
"52","510ce501-f2b4-4c71-baef-5722ca1d840b","12","2",0.788973384030418,0.559036144578313,"S"
"53","510ce501-f2b4-4c71-baef-5722ca1d840b","12","3",0.785984848484849,0.546987951807229,"S"
"54","510ce501-f2b4-4c71-baef-5722ca1d840b","12","4",0.477186311787072,0.649402390438247,"NS"
"55","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","1",0.664772727272727,0.319088319088319,"S"
"56","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","2",0.600760456273764,0.525316455696203,"NS"
"57","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","3",0.856060606060606,0.694690265486726,"NS"
"58","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","4",0.562737642585551,0.591216216216216,"S"
"59","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","5",0.533206831119545,0.405693950177936,"NS"
"60","58c1ce3d-1ca9-411d-82fd-782383c58e4f","12","6",0.836190476190476,0.594533029612756,"S"
"61","5f983d44-1037-4c49-8668-8f7aef902000","6","1",0.74810606060606,0.582278481012658,"NS"
"62","5f983d44-1037-4c49-8668-8f7aef902000","6","2",0.642585551330799,0.49112426035503,"S"
"63","5f983d44-1037-4c49-8668-8f7aef902000","6","3",0.600378787878788,0.55205047318612,"S"
"64","5f983d44-1037-4c49-8668-8f7aef902000","6","4",0.716730038022814,0.623342175066313,"NS"
"65","5f983d44-1037-4c49-8668-8f7aef902000","6","5",0.563567362428843,0.646464646464647,"NS"
"66","5f983d44-1037-4c49-8668-8f7aef902000","6","6",0.735238095238095,0.523316062176166,"S"
"67","69296e59-1aec-4e58-8c60-3e7d2f717892","12","1",0.742424242424242,0.665816326530612,"NS"
"68","69296e59-1aec-4e58-8c60-3e7d2f717892","12","2",0.737642585551331,0.554123711340206,"S"
"69","69296e59-1aec-4e58-8c60-3e7d2f717892","12","3",0.81060606060606,0.824766355140187,"S"
"70","69296e59-1aec-4e58-8c60-3e7d2f717892","12","4",0.809885931558935,0.633802816901408,"NS"
"71","69296e59-1aec-4e58-8c60-3e7d2f717892","12","5",0.817836812144213,0.561484918793503,"S"
"72","6eedc391-a9e2-4f7b-9906-02ac49332f84","12","1",0.632575757575758,0.547904191616767,"S"
"73","6eedc391-a9e2-4f7b-9906-02ac49332f84","12","2",0.490494296577947,0.732558139534884,"NS"
"74","6eedc391-a9e2-4f7b-9906-02ac49332f84","12","3",0.767045454545455,0.617283950617284,"NS"
"75","6eedc391-a9e2-4f7b-9906-02ac49332f84","12","4",0.564638783269962,0.609427609427609,"S"
"76","6eedc391-a9e2-4f7b-9906-02ac49332f84","12","5",0.717267552182163,0.542328042328042,"S"
"77","70cf8da0-b9d6-4a56-8c01-9284d0ac0db7","6","1",0.401515151515151,0.702830188679245,"S"
"78","70cf8da0-b9d6-4a56-8c01-9284d0ac0db7","6","6",0.668571428571429,0.752136752136752,"S"
"79","73973e72-aa4b-4db6-a0e4-626a472e9c87","6","1",0.62310606060606,0.495440729483283,"S"
"80","73973e72-aa4b-4db6-a0e4-626a472e9c87","6","2",0.581749049429658,0.61764705882353,"NS"
"81","73973e72-aa4b-4db6-a0e4-626a472e9c87","6","3",0.418560606060606,0.416289592760181,"NS"
"82","73973e72-aa4b-4db6-a0e4-626a472e9c87","6","4",0.465779467680608,0.477551020408163,"S"
"83","73973e72-aa4b-4db6-a0e4-626a472e9c87","6","5",0.358633776091082,0.216931216931217,"S"
"84","73973e72-aa4b-4db6-a0e4-626a472e9c87","6","6",0.428571428571429,0.844444444444444,"NS"
"85","7429cbef-2376-4c33-a67e-73f1c7247558","6","1",0.526515151515151,0.399280575539568,"S"
"86","7429cbef-2376-4c33-a67e-73f1c7247558","6","2",0.579847908745247,0.740983606557377,"NS"
"87","7429cbef-2376-4c33-a67e-73f1c7247558","6","3",0.702651515151515,0.55256064690027,"S"
"88","7429cbef-2376-4c33-a67e-73f1c7247558","6","4",0.473384030418251,0.823293172690763,"NS"
"89","7429cbef-2376-4c33-a67e-73f1c7247558","6","5",0.751423149905123,0.0934343434343434,"S"
"90","7429cbef-2376-4c33-a67e-73f1c7247558","6","6",0.571428571428571,0.646666666666667,"NS"
"91","7e57671a-48b8-4449-a025-f03abd43e3ea","6","1",0.34469696969697,0.417582417582418,"NS"
"92","7e57671a-48b8-4449-a025-f03abd43e3ea","6","2",0.365019011406844,0.53125,"S"
"93","7e57671a-48b8-4449-a025-f03abd43e3ea","6","3",0.888257575757576,0.402985074626866,"S"
"94","7e57671a-48b8-4449-a025-f03abd43e3ea","6","5",0.789373814041746,0.533653846153846,"S"
"95","7e57671a-48b8-4449-a025-f03abd43e3ea","6","6",0.678095238095238,0.514044943820225,"NS"
"96","8ee50ba6-7b98-42f8-8810-5931cab933c6","12","1",0.350378787878788,0.497297297297297,"NS"
"97","8ee50ba6-7b98-42f8-8810-5931cab933c6","12","2",0.452471482889734,0.470588235294118,"S"
